target,dpi,time,inoc,high_N,high_P,nutrient,round,replicate,sample,shoot_mass_g,root_mass_g,leaf_area_mm2,leaves,mass_ext_mg,PAVmin,PAVint,PAVslope,RPVmin,RPVint,RPVslope,q_group,tech_cycle,quant,quant_adj,quant_zero,co,log_quant,conc,log_conc,quant_rd
PAV,12,3,coinfection,0,1,P,2,3,23coinfectionP3shoot,0.1376,0.0099,899.94,2,50.7,2800,48.985077,-3.008881526,2800,51.57720036,-3.526047897,22,36.56824493,13388.34244,13388.34244,0,1,9.50213964,264.0698706,5.57621373,13388
PAV,12,3,coinfection,0,1,P,3,4,33coinfectionP4shoot,0.2382,0.0199,1080.44,2,50,2800,50.37211046,-3.366426214,2800,49.47677724,-3.068125512,30,38.2093792,4101.573491,4101.573491,0,1,8.319125957,82.03146982,4.407102952,4102
PAV,12,3,coinfection,0,1,P,4,5,43coinfectionP5shoot,0.1172,0.0071,552.845,2,48.5,2800,50.87939655,-3.364814314,2800,51.71905654,-3.58935585,18,37.3119901,10768.15269,10768.15269,0,1,9.284348231,222.0237667,5.402784433,10768
PAV,12,3,coinfection,1,0,N,1,1,13coinfectionN1shoot,0.2397,0.0161,1488.013,2,48.3,2800,52.95171603,-3.559470876,2800,50.16044781,-3.380785624,23,37.57515589,20888.17671,20888.17671,0,1,9.94693857,432.4674268,6.06950701,20888
PAV,12,3,coinfection,1,0,N,1,2,13coinfectionN2shoot,0.1425,0.0132,1058.803,2,47.4,2800,52.21184848,-3.59235151,2800,49.45773255,-3.407512855,24,37.79426575,10313.61477,10313.61477,0,1,9.241220124,217.5868096,5.382597895,10314
PAV,12,3,coinfection,1,0,N,3,4,33coinfectionN4shoot,0.2223,0.0178,1027.073,2,49.3,2800,50.87939655,-3.364814314,2800,51.71905654,-3.58935585,18,37.90108744,7195.574428,7195.574428,0,1,8.881221453,145.9548566,4.983297372,7196
PAV,12,3,coinfection,1,0,N,4,5,43coinfectionN5shoot,0.3304,0.0153,1597.927,2,48.3,2800,52.95171603,-3.559470876,2800,50.16044781,-3.380785624,23,39.29489263,6866.83492,6866.83492,0,1,8.834458569,142.1704952,4.957027008,6867
PAV,12,3,coinfection,1,1,N+P,1,2,13coinfectionN+P2shoot,0.1252,0.0157,763.612,3,48,2800,52.95171603,-3.559470876,2800,50.16044781,-3.380785624,23,37.8492597,17494.18186,17494.18186,0,1,9.76962364,364.4621222,5.898422629,17494
PAV,12,3,coinfection,1,1,N+P,2,3,23coinfectionN+P3shoot,0.2483,0.016,1436.058,3,48.7,2800,50.86659032,-3.253289286,2800,49.73738099,-3.558046976,21,38.90352631,4755.772843,4755.772843,0,1,8.467114495,97.65447317,4.581435464,4756
PAV,12,3,PAV,0,0,low,1,2,13PAVlow2shoot,0.1351,0.0307,1014.796,2,46.5,2800,50.22608975,-3.560085042,NA,NA,NA,17,35.16735331,16977.78779,16977.78779,0,0,9.739661168,365.1137158,5.900208855,16978
PAV,12,3,PAV,0,0,low,3,4,33PAVlow4shoot,0.2916,0.0278,1281.934,2,48.1,2800,50.22608975,-3.560085042,NA,NA,NA,17,37.68317413,3335.851747,3335.851747,0,0,8.112483322,69.35242716,4.239201145,3336
PAV,12,3,PAV,0,0,low,4,5,43PAVlow5shoot,0.179,0.0124,988.205,2,47.1,2800,50.22608975,-3.560085042,NA,NA,NA,17,36.39140447,7692.273541,7692.273541,0,0,8.947971668,163.3179096,5.095698667,7692
PAV,12,3,PAV,0,0,low,5,6,53PAVlow6shoot,0.2978,0.0218,NA,NA,54.3,2800,53.47020321,-3.462972132,NA,NA,NA,36,36.75108083,67292.87443,67292.87443,0,0,11.11680963,1239.279455,7.122285405,67293
