target,dpi,time,inoc,high_N,high_P,nutrient,round,replicate,sample,shoot_mass.g,root_mass.g,leaf_area.mm2,leaves,mass_ext.mg,PAVmin,PAVint,PAVslope,RPVmin,RPVint,RPVslope,q_group,tech_cycle,quant,quant_adj,quant_zero,co,log_quant,conc,log_conc,quant_rd
PAV,5,1,coinfection,0,1,P,1,1,11coinfectionP1shoot,0.1564,0.0115,707.601,2,48.7,2800,48.9850770018075,-3.0088815262222224,2800,51.57720035970756,-3.5260478969999998,22,37.805473325,5194.391581654531,5194.391581654531,0,1,8.55533478053505,106.66101810378913,4.6696557504465055,5194
PAV,5,1,coinfection,1,0,N,1,2,11coinfectionN2shoot,0.1319,0.011,642.632,2,50.2,2800,52.396041698335196,-3.4743881866666664,2800,49.87804498427564,-3.345626683222222,25,39.431690215,5387.727039204999,5387.727039204999,0,1,8.591878875371856,107.32523982480076,4.675863848674172,5388
PAV,5,1,coinfection,1,1,N+P,1,1,11coinfectionN+P1shoot,0.1049,0.0067,497.974,1,47.3,2800,52.999059720874435,-3.3933433428888917,2800,51.22810233179825,-3.3048075430370365,27,40.412874220000006,5117.773408651812,5117.773408651812,0,1,8.54047474232264,108.19816931610598,4.683964446824754,5118
PAV,5,1,coinfection,1,1,N+P,1,2,11coinfectionN+P2shoot,0.1795,0.0111,883.895,2,47.9,2800,52.155716614930085,-3.531808133222223,2800,53.07666939625254,-3.84486738162963,26,39.42761993,4016.494279342736,4016.494279342736,0,1,8.29816473132373,83.85165510110096,4.42904922690686,4016
PAV,5,1,PAV,0,0,low,2,3,21PAVlow3shoot,0.1859,0.0193,979.905,2,53.4,2800,51.174255418315916,-3.3517181390000026,NA,NA,NA,42,39.20645905,3720.876237641986,3720.876237641986,0,0,8.221714467283398,69.67933029292108,4.243903721317248,3721
PAV,5,1,PAV,0,1,P,4,5,41PAVP5shoot,0.2299,0.0248,1045.082,2,42,2800,55.29559506087862,-3.4535579345374523,2800,51.96716876869854,-3.3692454026666625,39,42.037525175,6901.758272444393,6901.758272444393,0,0,8.839531480217106,164.3275779153427,5.101861861933737,6902
PAV,5,1,PAV,1,0,N,2,3,21PAVN3shoot,0.0931,0.0083,502.888,1,41.4,2800,49.60374995845039,-3.348891957999999,NA,NA,NA,15,37.24664179333333,4896.767392772047,4896.767392772047,0,0,8.496330550629713,118.27940562251322,4.773049669798445,4897
PAV,8,2,coinfection,0,1,P,1,2,12coinfectionP2shoot,0.0504,0.0096,280.923,1,30.3,2800,51.38179051920926,-3.4672812150000007,2800,49.968065771911625,-3.525420062,31,37.67944972,8951.539666893728,8951.539666893728,0,1,9.099580826293996,295.4303520426973,5.6884331137786734,8952
PAV,8,2,coinfection,0,1,P,2,3,22coinfectionP3shoot,0.1011,0.0101,466.961,2,48.1,2800,48.9850770018075,-3.0088815262222224,2800,51.57720035970756,-3.5260478969999998,22,36.68560791,12238.305665077078,12238.305665077078,0,1,9.412326120428752,254.43462921158164,5.539043943317036,12238
PAV,8,2,PAV,0,0,low,5,6,52PAVlow6shoot,0.2274,0.0212,NA,NA,52.1,2800,53.470203207138084,-3.4629721319999986,NA,NA,NA,36,40.40204239,5938.592237252709,5938.592237252709,0,0,8.689227387172938,113.98449591655871,4.736062438413616,5939
