dpi,time,inoc,nutrient,round,replicate,aphid_mass_mg,conc,quant_t,nutrient_t,ext_date_t,RT_date_t,PCR_date_t,gel_date_t,PAV_t,RPV_t,notes_t,ext_notes_t,gel_notes_t,material,ID,high_N,high_P,high_N_t,high_P_t,co,t_up,t_dn,conc_s,conc_p,conc_p_s
16,4,coinfection,low,2,3,92.5,28144.911582395198,2603404.321371556,N,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.low.3.N,0,0,1,0,1,1,1,-0.010403063087378686,324.12490980655554,-0.14566547720480122
16,4,coinfection,low,2,3,92.5,28144.911582395198,2603404.321371556,N+P,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.low.3.N+P,0,0,1,1,1,1,1,-0.010403063087378686,324.12490980655554,-0.14566547720480122
16,4,coinfection,low,2,3,92.5,28144.911582395198,2603404.321371556,P,2/24/16,2/26/16,2/26/16,2/26/16,1,0.5,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.low.3.P,0,0,0,1,1,1,0,-0.010403063087378686,324.12490980655554,-0.14566547720480122
16,4,coinfection,low,4,5,93.7,6829.230172710702,639898.8671829929,low,2/9/16,2/12/16,2/12/16,2/12/16,0,1,NA,NA,NA,shoot,4.4.coinfection.low.5.low,0,0,0,0,1,1,1,-0.57526868133269915,611.5807183858876,0.3339685911564635
16,4,coinfection,low,4,5,93.7,6829.230172710702,639898.8671829929,N,2/9/16,2/12/16,2/12/16,2/12/16,1,0,NA,NA,NA,shoot,4.4.coinfection.low.5.N,0,0,1,0,1,0,0,-0.57526868133269915,611.5807183858876,0.3339685911564635
16,4,coinfection,low,4,5,93.7,6829.230172710702,639898.8671829929,P,2/9/16,2/12/16,2/12/16,2/12/16,0.5,0,NA,NA,NA,shoot,4.4.coinfection.low.5.P,0,0,0,1,1,0,0,-0.57526868133269915,611.5807183858876,0.3339685911564635
16,4,coinfection,N,4,5,107.80000000000001,27275.69152441652,2940319.5463321013,N,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.4.coinfection.N.5.N,1,0,1,0,1,1,1,-0.033437397106758554,158.97038874642425,-0.4212338688675688
16,4,coinfection,N,4,5,107.80000000000001,27275.69152441652,2940319.5463321013,N+P,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.4.coinfection.N.5.N+P,1,0,1,1,1,1,1,-0.033437397106758554,158.97038874642425,-0.4212338688675688
16,4,coinfection,N,4,5,107.80000000000001,27275.69152441652,2940319.5463321013,P,2/9/16,2/12/16,2/12/16,2/12/16,0.5,1,NA,NA,NA,shoot,4.4.coinfection.N.5.P,1,0,0,1,1,1,1,-0.033437397106758554,158.97038874642425,-0.4212338688675688
16,4,coinfection,N+P,2,3,51,112330.84569696701,5728873.130545317,N,12/15/15,1/6/16,1/7/16,1/7/16,1,1,NA,NA,PAV ctrl didn't show up,shoot,2.4.coinfection.N+P.3.N,1,1,1,0,1,1,1,2.2205244314276227,300.7324048771454,-0.1846970151789502
16,4,coinfection,N+P,2,3,51,112330.84569696701,5728873.130545317,N+P,12/15/15,1/6/16,1/7/16,1/7/16,0,1,NA,NA,PAV ctrl didn't show up,shoot,2.4.coinfection.N+P.3.N+P,1,1,1,1,1,1,1,2.2205244314276227,300.7324048771454,-0.1846970151789502
16,4,coinfection,N+P,2,3,51,112330.84569696701,5728873.130545317,P,12/15/15,1/6/16,1/7/16,1/7/16,0,0,NA,NA,PAV ctrl didn't show up,shoot,2.4.coinfection.N+P.3.P,1,1,0,1,1,0,0,2.2205244314276227,300.7324048771454,-0.1846970151789502
19,5,coinfection,low,2,3,35.3,94768.60828832223,3345331.8725777743,low,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.5.coinfection.low.3.low,0,0,0,0,1,1,1,1.7551250899316442,328.26373087246196,-0.1387596519377075
19,5,coinfection,low,2,3,35.3,94768.60828832223,3345331.8725777743,N,2/24/16,2/26/16,2/26/16,2/26/16,0,0,NA,NA,RT ctrl positive for RPV,shoot,2.5.coinfection.low.3.N,0,0,1,0,1,0,0,1.7551250899316442,328.26373087246196,-0.1387596519377075
19,5,coinfection,low,2,3,35.3,94768.60828832223,3345331.8725777743,N+P,2/24/16,2/26/16,2/26/16,2/26/16,0,1,NA,NA,RT ctrl positive for RPV,shoot,2.5.coinfection.low.3.N+P,0,0,1,1,1,1,1,1.7551250899316442,328.26373087246196,-0.1387596519377075
19,5,coinfection,P,4,5,88.6,165486.49089718887,14662103.093490932,low,1/28/16,2/1/16,2/1/16,2/1/16,1,1,NA,NA,NA,shoot,4.5.coinfection.P.5.low,0,1,0,0,1,1,1,3.6291491810736924,67.31125386971469,-0.5741716159969932
19,5,coinfection,P,4,5,88.6,165486.49089718887,14662103.093490932,N,1/28/16,2/1/16,2/1/16,2/1/16,1,1,NA,NA,NA,shoot,4.5.coinfection.P.5.N,0,1,1,0,1,1,1,3.6291491810736924,67.31125386971469,-0.5741716159969932
19,5,coinfection,P,4,5,88.6,165486.49089718887,14662103.093490932,N+P,1/28/16,2/1/16,2/1/16,2/1/16,1,1,NA,NA,NA,shoot,4.5.coinfection.P.5.N+P,0,1,1,1,1,1,1,3.6291491810736924,67.31125386971469,-0.5741716159969932
19,5,coinfection,P,4,5,88.6,165486.49089718887,14662103.093490932,P,1/28/16,2/1/16,2/1/16,2/1/16,1,1,NA,NA,NA,shoot,4.5.coinfection.P.5.P,0,1,0,1,1,1,1,3.6291491810736924,67.31125386971469,-0.5741716159969932
19,5,coinfection,N+P,2,3,89.1,24617.893147516344,2193454.279443706,N,3/8/16,3/11/16,3/13/16,3/13/16,0,1,NA,NA,NA,shoot,2.5.coinfection.N+P.3.N,1,1,1,0,1,1,1,-0.10386906168666883,440.4345714921071,0.04840287890068195
19,5,coinfection,N+P,2,3,89.1,24617.893147516344,2193454.279443706,N+P,3/8/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,2.5.coinfection.N+P.3.N+P,1,1,1,1,1,1,1,-0.10386906168666883,440.4345714921071,0.04840287890068195
19,5,coinfection,N+P,2,3,89.1,24617.893147516344,2193454.279443706,P,3/8/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,2.5.coinfection.N+P.3.P,1,1,0,1,1,1,1,-0.10386906168666883,440.4345714921071,0.04840287890068195
19,5,coinfection,N+P,4,5,75.6,7272.760332490187,549820.6811362581,N,1/28/16,2/1/16,2/1/16,2/1/16,0,1,NA,NA,NA,shoot,4.5.coinfection.N+P.5.N,1,1,1,0,1,1,1,-0.5635151308315898,94.16209900257776,-0.529369668338805
19,5,coinfection,N+P,4,5,75.6,7272.760332490187,549820.6811362581,N+P,1/28/16,2/1/16,2/1/16,2/1/16,0,1,NA,NA,NA,shoot,4.5.coinfection.N+P.5.N+P,1,1,1,1,1,1,1,-0.5635151308315898,94.16209900257776,-0.529369668338805
19,5,coinfection,N+P,4,5,75.6,7272.760332490187,549820.6811362581,P,1/28/16,2/1/16,2/1/16,2/1/16,0,1,NA,NA,NA,shoot,4.5.coinfection.N+P.5.P,1,1,0,1,1,1,1,-0.5635151308315898,94.16209900257776,-0.529369668338805
22,6,coinfection,low,2,3,38,7125.342252574002,270763.00559781207,low,3/8/16,3/11/16,3/13/16,3/13/16,0,0,NA,NA,NA,shoot,2.6.coinfection.low.3.low,0,0,0,0,1,0,0,-0.5674217103704715,663.7946411944091,0.42109007374372753
22,6,coinfection,low,2,3,38,7125.342252574002,270763.00559781207,N+P,3/8/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,2.6.coinfection.low.3.N+P,0,0,1,1,1,1,1,-0.5674217103704715,663.7946411944091,0.42109007374372753
22,6,coinfection,low,2,3,38,7125.342252574002,270763.00559781207,P,3/8/16,3/11/16,3/13/16,3/13/16,1,0,NA,NA,NA,shoot,2.6.coinfection.low.3.P,0,0,0,1,1,0,0,-0.5674217103704715,663.7946411944091,0.42109007374372753
22,6,coinfection,P,4,5,99.4,2502.466021194044,248745.122506688,low,2/8/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.6.coinfection.P.5.low,0,1,0,0,1,0,0,-0.6899279437073812,436.7668616255392,0.042283125699085995
22,6,coinfection,P,4,5,99.4,2502.466021194044,248745.122506688,N,2/8/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.6.coinfection.P.5.N,0,1,1,0,1,1,1,-0.6899279437073812,436.7668616255392,0.042283125699085995
22,6,coinfection,P,4,5,99.4,2502.466021194044,248745.122506688,N+P,2/8/16,2/12/16,2/12/16,2/12/16,1,0,NA,NA,NA,shoot,4.6.coinfection.P.5.N+P,0,1,1,1,1,0,0,-0.6899279437073812,436.7668616255392,0.042283125699085995
22,6,coinfection,P,4,5,99.4,2502.466021194044,248745.122506688,P,2/8/16,2/12/16,2/12/16,2/12/16,1,0,NA,NA,NA,shoot,4.6.coinfection.P.5.P,0,1,0,1,1,0,0,-0.6899279437073812,436.7668616255392,0.042283125699085995
22,6,coinfection,N,4,5,136.3,18450.950148688233,2514864.5052662063,low,11/17/15,11/19/15,11/24/15,11/25/15,1,0,NA,NA,NA,shoot,4.6.coinfection.N.5.low,1,0,0,0,1,0,0,-0.267293068771613,2006.9262310489783,2.6621707879248464
22,6,coinfection,N,4,5,136.3,18450.950148688233,2514864.5052662063,N,11/17/15,11/19/15,11/24/15,11/25/15,1,1,NA,NA,NA,shoot,4.6.coinfection.N.5.N,1,0,1,0,1,1,1,-0.267293068771613,2006.9262310489783,2.6621707879248464
22,6,coinfection,N,4,5,136.3,18450.950148688233,2514864.5052662063,N+P,11/17/15,11/19/15,11/24/15,11/25/15,1,1,NA,NA,NA,shoot,4.6.coinfection.N.5.N+P,1,0,1,1,1,1,1,-0.267293068771613,2006.9262310489783,2.6621707879248464
22,6,coinfection,N,4,5,136.3,18450.950148688233,2514864.5052662063,P,11/17/15,11/19/15,11/24/15,11/25/15,1,1,NA,NA,NA,shoot,4.6.coinfection.N.5.P,1,0,0,1,1,1,1,-0.267293068771613,2006.9262310489783,2.6621707879248464
