dpi,time,inoc,nutrient,round,replicate,aphid_mass_mg,conc,quant_t,nutrient_t,ext_date_t,RT_date_t,PCR_date_t,gel_date_t,PAV_t,RPV_t,notes_t,ext_notes_t,gel_notes_t,material,ID,high_N,high_P,high_N_t,high_P_t,co,t_up,t_dn,conc_s,conc_r,conc_r_s
12,3,coinfection,N,4,5,132.20000000000002,142.1704952337189,18794.93946989764,low,2/9/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.3.coinfection.N.5.low,1,0,0,0,1,0,0,-0.44926531242530476,22071.456196177707,-0.17134964817109213
12,3,coinfection,N,4,5,132.20000000000002,142.1704952337189,18794.93946989764,N,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.3.coinfection.N.5.N,1,0,1,0,1,1,1,-0.44926531242530476,22071.456196177707,-0.17134964817109213
12,3,coinfection,N,4,5,132.20000000000002,142.1704952337189,18794.93946989764,N+P,2/9/16,2/12/16,2/12/16,2/12/16,0,1,NA,NA,NA,shoot,4.3.coinfection.N.5.N+P,1,0,1,1,1,0,0,-0.44926531242530476,22071.456196177707,-0.17134964817109213
12,3,coinfection,N,4,5,132.20000000000002,142.1704952337189,18794.93946989764,P,2/9/16,2/12/16,2/12/16,2/12/16,0,1,NA,NA,NA,shoot,4.3.coinfection.N.5.P,1,0,0,1,1,0,0,-0.44926531242530476,22071.456196177707,-0.17134964817109213
12,3,coinfection,N+P,2,3,98.9,97.65447317032502,9658.027396545145,low,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.N+P.3.low,1,1,0,0,1,1,1,-0.5235424713216533,9138.958127376756,-0.5140608839362635
12,3,coinfection,N+P,2,3,98.9,97.65447317032502,9658.027396545145,N,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.N+P.3.N,1,1,1,0,1,1,1,-0.5235424713216533,9138.958127376756,-0.5140608839362635
12,3,coinfection,N+P,2,3,98.9,97.65447317032502,9658.027396545145,N+P,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.N+P.3.N+P,1,1,1,1,1,1,1,-0.5235424713216533,9138.958127376756,-0.5140608839362635
12,3,coinfection,N+P,2,3,98.9,97.65447317032502,9658.027396545145,P,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.N+P.3.P,1,1,0,1,1,1,1,-0.5235424713216533,9138.958127376756,-0.5140608839362635
16,4,coinfection,low,2,3,92.5,324.12490980655554,29981.554157106388,low,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.low.3.low,0,0,0,0,1,1,1,-0.14566547720480122,28144.911582395198,-0.010403063087378686
16,4,coinfection,low,2,3,92.5,324.12490980655554,29981.554157106388,N,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.low.3.N,0,0,1,0,1,1,1,-0.14566547720480122,28144.911582395198,-0.010403063087378686
16,4,coinfection,low,2,3,92.5,324.12490980655554,29981.554157106388,N+P,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.low.3.N+P,0,0,1,1,1,1,1,-0.14566547720480122,28144.911582395198,-0.010403063087378686
16,4,coinfection,low,2,3,92.5,324.12490980655554,29981.554157106388,P,2/24/16,2/26/16,2/26/16,2/26/16,1,0.5,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.low.3.P,0,0,0,1,1,1,1,-0.14566547720480122,28144.911582395198,-0.010403063087378686
